movie,sentence,score
더 퍼스트 슬램덩크,만화책에서 느낄 수 있던 감동과 영화에서 느낄 수 있는 생동감이 합해진 영화 아닐까 특히 만화책에서 다루지 않았던 과거 얘기를 다루면서 캐릭터에 대한 입체감이 더해짐!,9
더 퍼스트 슬램덩크,서태웅 너무 잘생겼어요!!!!,10
더 퍼스트 슬램덩크,진짜 우리 어린 시절을 생각하게 하는...울컥함~ 이노우에 작가님 좀 더 해주세요~ ㅎㅎ,10
더 퍼스트 슬램덩크,아쉬운부분도있었지만 산왕전을 애니로본다는것만으로도10점,10
더 퍼스트 슬램덩크,재밌습니다 하나도 모르고 가도 재밌었어요,10
더 퍼스트 슬램덩크,3회차 관람했다... 지금까지 수많은 애니 명작들이 있었는데 그중에서 시간이 흘러서도 이토록 많은 사랑을 받는 작품이 슬램덩크인 덴 분명 이유가 있다. 사랑 받을 수밖에 없는 이유들이 영화 속에 다 들어 있음 오프닝 스케치와 대사 없이 이어지는 마지막 1분 동안의 승부 연출은 영화적 백미의 극한을 선사하니 다들 극장에서 꼭 관람했으면 좋겠다~,10
더 퍼스트 슬램덩크,보는 것만으로도 감동!,10
더 퍼스트 슬램덩크,나 진짜 평점 눈팅만 하는데 이거는 참지 못한다 누가 점수를 낮게 주었길래 이게 만점을 못받는거야~!,10
더 퍼스트 슬램덩크,"최근 본 영화중 1등입니다. 스토리,연출,구성 모두 완벽하다.청춘들이여 열정하라~",10
더 퍼스트 슬램덩크,너무 재미있어요~~~,10
더 퍼스트 슬램덩크,오랜 추억의 달달함...,8
더 퍼스트 슬램덩크,영화 평점 처음남겨보는데... 진짜 인생 영화입니다.,10
더 퍼스트 슬램덩크,송태섭.. 많이 힘들었구나..,10
더 퍼스트 슬램덩크,"초등 아들과 3번 봤습니다더빙, 자막, 더빙 순으로 봤는데자막 볼 때 살짝 지루해서 두번으로 끝내야지 했는데 더빙 한번 더보니 더빙이 답이구나!!!! 느꼈습니다또 봐도 지루하지 않고 아는 내용인데도 심장이 두근두근 합니다 조만간 4차 관람 하러 갑니다!!",10
더 퍼스트 슬램덩크,이거 보려고 만화 다 보구 봤는데요농구에 대해서 잘 모르는 저한테도 너무 감동이었습니다,10
더 퍼스트 슬램덩크,어머. 이건 N차 관람해야 돼.영화를 보다가 만화 대사를 육성으로 읊을 뻔한게 몇번이었는지 모르겠다. ㅠㅠ ,10
더 퍼스트 슬램덩크,재밌었음 옛 추억을 떠올리는 느낌,10
더 퍼스트 슬램덩크,오랜추억을 되새기려 찾은 영화관 만화다운 영상은 좋았으나 먼가 뚝뚝 끊어지는 스토리 전개가 지루하고 억지 감성은 이제그만...,4
더 퍼스트 슬램덩크,미쳤다 그냥..꼭봐야함,10
더 퍼스트 슬램덩크,미쳤다 그냥..꼭봐야함,10
더 퍼스트 슬램덩크,추억이 생생하게 살아나는 감동,10
더 퍼스트 슬램덩크,정말 졸려서 미치는줄 알았네...신파를 한편 보는게 나은듯.돈 아까워. 시간 아깝고. 이게 뭐냐.정말 재미있냐???,2
더 퍼스트 슬램덩크,진짜 미친 명작 그리고 가슴이 벅차오르는 막판의 원작 오마주들98년생인데 슬램덩크 끝 세대라 행운이었다.,10
더 퍼스트 슬램덩크,아이들과 보는데 30년가까이된 향수와감동의 여운이 아직 느껴지네요,10
더 퍼스트 슬램덩크,최고네요 원작을 보지않았는데도 느껴지는 울림이 있습니다.,10
더 퍼스트 슬램덩크,진짜 만화속의 레전드경기를  영상으로 볼수있다는것만해도 놀라웠지만 추가로 뛰어난 연출력.. ost 어울림 미쳤고.. 슛폼까지 그대로 재현하다니 완벽한 싱크로의 3d까지.. 그저 놀라워서 나도모르게 몇번이나 우와했는데 나말고 옆 다른관객들도 우와를 외치고있었다..,10
더 퍼스트 슬램덩크,이 영화는  정말로 최고다,10
더 퍼스트 슬램덩크,영원한 대만 오빠,10
더 퍼스트 슬램덩크,하남자 같은 상남자 불꽃남자 정대만,10
더 퍼스트 슬램덩크,30년전의 감동을 넘어선듯하다경기종료 1분의 적막속에서 무한한 감동을 느낄  수 있었다,10
더 퍼스트 슬램덩크,뚫어 송태섭 ㅠㅠㅠㅠ,10
더 퍼스트 슬램덩크,재밌었어요 뭔 공백을 채우래 또,10
더 퍼스트 슬램덩크,"송태섭 뚫어 하면서 제로감 OST 나올 때, 심장이 터질듯한 기분이였습니다. 2차 관람 예정입니다.",10
더 퍼스트 슬램덩크,최고의 순간은 언제였나요?,10
더 퍼스트 슬램덩크,살아움직이는듯한 인물들의 투혼에 연신 눈꼬리에 눈물이 맺혀 와이프볼까 훔치느라 혼났다,10
더 퍼스트 슬램덩크,잠을 참느라 죽을뻔햇어여참고로 저는여자..남자친구가 보자해서봄..,10
더 퍼스트 슬램덩크,아무 생각없이 보다가 너무 재미있었다..다음작 완전 기대중,9
더 퍼스트 슬램덩크,슬램덩크 원작을 본 사람이라면 감동 받을 거임.,10
